Project ID,Project Name,Project Type,Location,Start Date,End Date,Project Status,Priority,Budget,Bug_Density,Scope_Change_Frequency
P083,Commercial Center Construction Project 083,Construction,Georgia,20/03/2024,15/06/2024,Behind,High,2183,7.81,2
P084,Highway Reconstruction Project 084,Other,Georgia,09/06/2024,08/05/2025,On Hold,Low,1713,3.96,0
P084,Highway Reconstruction Project 084,Other,North Carolina,09/06/2024,19/04/2025,On Hold,Medium,6400,1.65,2
P084,Highway Reconstruction Project 084,Other,North Carolina,09/06/2024,25/03/2025,On Hold,High,3319,1.01,0
P085,Airport Expansion Project 085,Other,Virginia,03/08/2024,18/11/2024,Completed,Low,8340,1.56,1
P085,Airport Expansion Project 085,Other,Illinois,03/08/2024,25/09/2024,Completed,High,4749,2.39,1
P085,Airport Expansion Project 085,Other,New Jersey,03/08/2024,19/11/2024,Completed,High,6222,1.79,0
P086,Shopping Mall Renovation Project 086,Renovation,Pennsylvania,29/01/2024,10/12/2024,Completed,High,9246,1.69,1
P086,Shopping Mall Renovation Project 086,Renovation,Pennsylvania,29/01/2024,25/09/2024,Completed,High,7327,1.85,1
P086,Shopping Mall Renovation Project 086,Renovation,Virginia,29/01/2024,17/10/2024,Completed,High,6331,2.06,1
P087,University Dormitory Construction Project 087,Construction,California,17/02/2024,11/09/2025,On Track,High,2256,1.24,1
P087,University Dormitory Construction Project 087,Construction,New York,17/02/2024,07/10/2025,On Track,Medium,5371,0.73,0
P087,University Dormitory Construction Project 087,Construction,North Carolina,17/02/2024,06/10/2025,On Track,High,2434,0.92,0
P088,Sports Stadium Upgrade Project 088,Other,Georgia,21/07/2024,13/02/2025,Completed,High,7504,2.48,0
P088,Sports Stadium Upgrade Project 088,Other,Virginia,21/07/2024,02/02/2025,Completed,Medium,7717,2.27,0
P088,Sports Stadium Upgrade Project 088,Other,Washington,21/07/2024,21/12/2024,Completed,High,4651,2.16,0
P089,Public Library Renovation Project 089,Renovation,Georgia,26/05/2024,06/05/2025,On Track,Medium,5791,1.9,0
P089,Public Library Renovation Project 089,Renovation,Washington,26/05/2024,18/07/2025,On Track,High,4133,0.53,1
P089,Public Library Renovation Project 089,Renovation,Washington,26/05/2024,28/06/2024,On Track,Medium,8716,0.97,1
P090,Building a Park Project 090,Other,Michigan,11/06/2024,14/07/2024,Completed,High,9174,0.37,1
P090,Building a Park Project 090,Other,North Carolina,11/06/2024,01/09/2025,Completed,Low,9702,1.51,1
P090,Building a Park Project 090,Other,Georgia,11/06/2024,21/10/2025,Completed,High,8975,2.38,1
P091,Renovation of a School Project 091,Renovation,Michigan,22/05/2024,24/06/2024,On Hold,High,7491,3.59,1
P091,Renovation of a School Project 091,Renovation,Michigan,22/05/2024,13/03/2025,On Hold,Medium,4013,1.94,1
P091,Renovation of a School Project 091,Renovation,New York,22/05/2024,21/03/2025,On Hold,Low,1670,2.82,2
P092,Innovation of a Classroom Project 092,Innovation,California,03/03/2024,26/11/2024,Completed,Medium,6004,1.5,1
P092,Innovation of a Classroom Project 092,Innovation,Illinois,03/03/2024,25/09/2024,Completed,Medium,9649,2.08,1
P092,Innovation of a Classroom Project 092,Innovation,Georgia,03/03/2024,25/09/2024,Completed,High,5921,1.16,0
P093,Construction of a Hospital Wing Project 093,Construction,Virginia,19/08/2024,21/09/2024,Completed,Low,4306,1.09,0
P093,Construction of a Hospital Wing Project 093,Construction,Illinois,19/08/2024,19/04/2025,Completed,Low,8367,1.85,1
P093,Construction of a Hospital Wing Project 093,Construction,Georgia,19/08/2024,21/09/2024,Completed,Low,4178,2.03,1
P094,Road Expansion Project 094,Infrastructure,North Carolina,28/06/2024,06/10/2024,Behind,High,1773,3.81,3
P094,Road Expansion Project 094,Infrastructure,Illinois,28/06/2024,29/09/2024,Behind,High,7829,6.82,2
P094,Road Expansion Project 094,Infrastructure,Virginia,28/06/2024,23/09/2024,Behind,Medium,1447,5.28,2
P095,Bridge Maintenance Project 095,Maintenance,Ohio,17/02/2024,02/08/2024,Behind,Medium,8329,5.47,3
P095,Bridge Maintenance Project 095,Maintenance,Illinois,17/02/2024,29/06/2024,Behind,Low,6160,3.74,5
P095,Bridge Maintenance Project 095,Maintenance,New Jersey,17/02/2024,27/07/2024,Behind,High,6083,6.44,4
P096,Office Building Renovation Project 096,Renovation,Georgia,03/03/2024,06/05/2025,On Track,Low,1235,1.75,1
P096,Office Building Renovation Project 096,Renovation,Illinois,03/03/2024,05/01/2025,On Track,Medium,2984,0.37,0
P096,Office Building Renovation Project 096,Renovation,Ohio,03/03/2024,09/03/2025,On Track,High,5211,0.7,1
P097,Apartment Complex Development Project 097,Other,Washington,08/06/2024,08/12/2024,Behind,High,6292,4.63,4
P097,Apartment Complex Development Project 097,Other,Florida,08/06/2024,08/03/2025,Behind,Medium,2335,5.62,2
P097,Apartment Complex Development Project 097,Other,Virginia,08/06/2024,21/12/2024,Behind,High,3956,4.06,2
P098,Commercial Center Construction Project 098,Construction,Illinois,15/08/2024,23/01/2025,Completed,Medium,8906,0.88,0
P098,Commercial Center Construction Project 098,Construction,Texas,15/08/2024,28/01/2025,Completed,Medium,8346,0.41,1
P098,Commercial Center Construction Project 098,Construction,Michigan,15/08/2024,27/04/2025,Completed,High,5134,0.2,1
P099,Highway Reconstruction Project 099,Other,New Jersey,31/05/2024,22/12/2024,Completed,Medium,7307,1.81,0
P099,Highway Reconstruction Project 099,Other,New York,31/05/2024,01/03/2025,Completed,High,9425,1.87,1
P099,Highway Reconstruction Project 099,Other,Florida,31/05/2024,11/03/2025,Completed,High,5199,0.13,1
P100,Airport Expansion Project 100,Other,Virginia,08/08/2024,02/09/2024,On Track,Medium,2156,0.15,0
P100,Airport Expansion Project 100,Other,Pennsylvania,08/08/2024,30/08/2024,On Track,Medium,1502,1.13,0
P100,Airport Expansion Project 100,Other,Virginia,08/08/2024,30/08/2024,On Track,Medium,8619,2.36,0
